name,web_pages,domains,country,state-province
National Institute of Technology Rourkela,['http://www.nitrkl.ac.in/'],['nitrkl.ac.in'],India,Odisha
National Institute of Technology Sikkim,['http://www.nitsikkim.ac.in/'],['nitsikkim.ac.in'],India,Sikkim
National Institute of Technology Silchar,['http://www.nits.ac.in/'],['nits.ac.in'],India,Assam
National Institute of Technology Srinagar,['http://www.nitsri.net/'],['nitsri.net'],India,Jammu and Kashmir
National Institute of Technology Surathkal,"['http://www.nitk.ac.in/', 'http://www.nitk.edu.in/']","['nitk.ac.in', 'nitk.edu.in']",India,Karnataka
National Institute of Technology Trichy,['http://www.nitt.edu/'],['nitt.edu'],India,Tamil Nadu
National Institute of Technology Uttarakhand,['http://www.nituk.ac.in/'],['nituk.ac.in'],India,Uttarakhand
National Institute of Technology Warangal,['http://www.nitw.ernet.in/'],['nitw.ernet.in'],India,Telangana
National Law School of India University,['http://www.nls.ac.in/'],['nls.ac.in'],India,
Narsee Monjee Institute of Management Studies,['http://www.nmims.edu/'],['nmims.edu'],India,
North Maharashtra University,['http://www.nmu.ac.in/'],['nmu.ac.in'],India,Maharashtra
Netaji Subhas University of Technology,['http://www.nsut.ac.in/'],['nsut.ac.in'],India,Delhi
Osmania University,['http://www.osmania.ac.in/'],['osmania.ac.in'],India,
Sri Padmavati Women's University,['http://www.padmavatiwomen-univ.org/'],['padmavatiwomen-univ.org'],India,
Pandit Deendayal Energy University,"['https://www.pdeu.ac.in/', 'https://www.pdpu.ac.in/']","['pdeu.ac.in', 'pdpu.ac.in']",India,Gujarat
Punjab Agricultural University,['http://www.pau.edu/'],['pau.edu'],India,Punjab
Dr. Panjabrao Deshmukh Krishi Vidyapeeth,['http://www.pdkv.ac.in/'],['pdkv.ac.in'],India,
Parul University,['http://www.paruluniversity.ac.in/'],['paruluniversity.ac.in'],India,
Punjab Engineering College,['http://www.pec.ac.in/'],['pec.ac.in'],India,Punjab
PES University,['http://www.pes.edu/'],['pes.edu'],India,Karnataka
Postgraduate lnstitute of Medical Education and Research,['http://www.pgimer.nic.in/'],['pgimer.nic.in'],India,Punjab and Haryana
Pondicherry University,['http://www.pondiuni.org/'],['pondiuni.org'],India,Puducherry
PSG College of Technology,['http://www.psgtech.edu/'],['psgtech.edu'],India,Tamil Nadu
Jai Narain Vyas University,['http://www.ptetjnvu.org/'],['ptetjnvu.org'],India,
Punjab Technical University,['http://www.ptu.ac.in/'],['ptu.ac.in'],India,Punjab
Panjab University,['http://www.puchd.ac.in/'],['puchd.ac.in'],India,Punjab
Punjabi University Patiala,['http://www.punjabiuniversity.ac.in/'],['punjabiuniversity.ac.in'],India,Punjab
Patna University,['http://puonline.bih.nic.in/'],['puonline.bih.nic.in'],India,Bihar
Rajendra Agricultural University,['http://www.pusavarsity.org.in/'],['pusavarsity.org.in'],India,
Rabindra Bharati University,['http://www.rabindrabharatiuniversity.net/'],['rabindrabharatiuniversity.net'],India,
Ranchi University,['http://www.ranchiuniversity.org.in/'],['ranchiuniversity.org.in'],India,Jharkhand
"Rajasthan Agricultural University, Bikaner",['http://www.raubikaner.org/'],['raubikaner.org'],India,Rajasthan
Rani Durgavati University,['http://www.rdunijbpin.org/'],['rdunijbpin.org'],India,
Rajiv Gandhi Technical University (University of Technology of Madhya Pradesh),['http://www.rgtu.net/'],['rgtu.net'],India,Madhya Pradesh
Rajiv Gandhi University,['http://www.rgu.ac.in/'],['rgu.ac.in'],India,
Rajitlal Institute of Technology & Health Sciences (RITHS),['http://www.riths.ac.in/'],['riths.ac.in'],India,
Dr. Ram Manohar Lohia Avadh University,['http://www.rmlau.ac.in/'],['rmlau.ac.in'],India,
Pandit Ravi Shankar Shukla University,['http://www.rsuniversity.com/'],['rsuniversity.com'],India,
Rajasthan Technical University,['http://www.rtu.ac.in/'],['rtu.ac.in'],India,Rajasthan
Mahatma Gandhi Chitrakut Gramoday University,['http://www.ruraluniversity-chitrakoot.org/'],['ruraluniversity-chitrakoot.org'],India,
"Dr. Hari Singh Gour University, formerly University of Sagar",['http://www.sagaruniversity.nic.in/'],['sagaruniversity.nic.in'],India,
Sambalpur University,['http://www.sambalpuruniversitypgc.in/'],['sambalpuruniversitypgc.in'],India,
National Sanskrit University,['http://www.sanskrit.nic.in/'],['sanskrit.nic.in'],India,
SASTRA University,['http://www.sastra.edu/'],"['sastra.edu', 'sastra.ac.in']",India,Tamil Nadu
Sathyabama University,['http://www.sathyabamauniv.ac.in/'],['sathyabamauniv.ac.in'],India,Tamil Nadu
Saurashtra University,['http://www.saurashtrauniversity.edu/'],['saurashtrauniversity.edu'],India,
Sree Chitra Tirunal Institute for Medical Sciences and Technology,['http://sctimst.ker.nic.in/'],['sctimst.ker.nic.in'],India,
Sardarkrushinagar Dantiwada Agricultural University,['http://www.sdau.edu.in/'],['sdau.edu.in'],India,
